date,month,symbol,calendar_index,holiday_tag,is_trading_day,close,execution_price,action,buy_units,sell_units,open_units,position_state,reason_tag,state_tag,source,source_sheet,source_row,trade_marker_readable,confidence,note,manual_action,manual_execution_price,manual_buy_units,manual_sell_units,manual_open_units,manual_state_tag,manual_status,manual_note
1975-01-01,1975-01,PIONEER,1,,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,3,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-02,1975-01,PIONEER,2,,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,4,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-03,1975-01,PIONEER,3,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,5,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-04,1975-01,PIONEER,4,,1,810,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,6,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-05,1975-01,PIONEER,5,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,7,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-06,1975-01,PIONEER,6,,1,803,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,8,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-07,1975-01,PIONEER,7,,1,805,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,9,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-08,1975-01,PIONEER,8,,1,780,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,10,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-09,1975-01,PIONEER,9,,1,766,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,11,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-10,1975-01,PIONEER,10,,1,755,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,12,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-11,1975-01,PIONEER,11,,1,770,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,13,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-12,1975-01,PIONEER,12,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,14,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-13,1975-01,PIONEER,13,,1,775,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,15,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-14,1975-01,PIONEER,14,,1,788,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,16,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-15,1975-01,PIONEER,15,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,17,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-16,1975-01,PIONEER,16,,1,775,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,18,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-17,1975-01,PIONEER,17,,1,794,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,19,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-18,1975-01,PIONEER,18,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,20,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-19,1975-01,PIONEER,19,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,21,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-20,1975-01,PIONEER,20,,1,776,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,22,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-21,1975-01,PIONEER,21,,1,763,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,23,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-22,1975-01,PIONEER,22,,1,755,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,24,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-23,1975-01,PIONEER,23,,1,745,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,25,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-24,1975-01,PIONEER,24,,1,736,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,26,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-25,1975-01,PIONEER,25,,1,745,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,27,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-26,1975-01,PIONEER,26,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,28,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-27,1975-01,PIONEER,27,,1,744,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,29,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-28,1975-01,PIONEER,28,,1,760,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,30,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-29,1975-01,PIONEER,29,,1,778,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,31,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
1975-01-30,1975-01,PIONEER,30,,1,790,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,32,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.,,,,,,,unresolved_source_missing_trade_markers,January source page is blank in trade-marker area; factual trade backfill is blocked.
